PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete E,105,4831.07425,67.15151333,108.42,7.850766667,0,117.43,1406.942787,0.323823333,2.90591,2.194443333,4591.599767,69.94408061,101.6788392,7.351187893,0,135.6481939,1389.772511,0.35571649,3.055682587,2.404337451,0
Athlete I,105,3494.96629,64.07511,139.21,7.393523333,0,120.12,1102.98277,0.338056667,3.20203,3.925926667,3654.85798,70.82619179,143.4552866,7.134150343,0.107852755,128.6383834,1129.967424,0.36232336,3.088508183,3.863017691,0
Athlete J,105,4384.13966,70.823665,107.28,7.765815,0,103.78,1253.07144,0.331215,2.85003,4.15278,4309.940469,72.5723225,90.3657918,7.203712564,0,102.1207433,1264.710608,0.351908229,2.93373795,3.144510864,0
Athlete Q,105,3066.75732,58.6752,21.85,5.81844,0,38.87,960.27499,0.30621,3.13124,6,3383.204566,59.695972,33.044,6.071628,0,51.944,1050.263988,0.30799,3.110392,4.46,0
Athlete Y,105,3989.867965,72.43825,263.429995,7.98598,0,110.86,1092.57423,0.32835,2.74751,3.4,4304.757882,68.46038058,261.3248684,7.852290209,0.228127826,136.0618249,1221.139776,0.323684928,2.848825132,3.375658963,0
Athlete AC,106,5012.3259,79.26715,68.48,6.25563,0,191.68,1510.9269,0.39824,3.01442,3.57143,5092.697243,78.35520939,172.4267322,7.016510761,0.006846693,169.6536948,1449.558904,0.373889797,2.860658657,3.953566766,0
Athlete AM,106,2659.3147,91.70051,189.22,5.82155,0,228.85,606.11539,0.34834,2.27922,4,2783.14452,79.34346595,372.3851621,6.619368985,0.051699436,272.058528,765.2623813,0.349552332,2.733528976,8.403761838,0
Athlete AO,106,5008.80661,79.21149,205.53,8.07076,0,201.09,1671.87051,0.44066,3.33786,4.8,3988.994581,76.07313943,260.1715894,8.258097343,0.391712645,186.8512705,1290.851743,0.406552748,3.201567779,5.535130048,0
Athlete AW,106,5135.32156,81.21225,199.29,8.34284,0,219.33,1746.392,0.4603,3.40075,3.875,4784.626398,75.79335159,202.0691806,8.067014426,0.139156143,213.3416491,1584.281043,0.416937026,3.299715357,4.179776716,0
Athlete AX,106,2818.45313,97.18804,279.87,6.04175,0,235.79,619.1696,0.35584,2.19684,5.2,3254.18985,80.58391167,434.72834,7.417683333,3.91,276.793335,915.39806,0.36521,2.806483333,6.338161667,0
Athlete AZ,106,4850.91728,76.71456,325.24,8.59347,0,242.55001,1659.48694,0.4374,3.42098,4.66667,4787.071317,73.13866546,372.395759,8.602114376,7.892235432,245.332365,1551.026412,0.394515648,3.223418714,4.510969477,0
Athlete BA,106,3971.32586,62.80431,2.43,5.66471,0,97,1462.03776,0.38536,3.68149,5,3648.440253,61.20965367,20.42526592,5.968256136,0,93.63512193,1230.742848,0.34114282,3.318538139,3.380056119,0
Athlete BD,106,5530.52666,87.4622,109.55,7.25389,0,276.96999,1782.96554,0.46994,3.22386,5.33333,4835.188646,80.8150663,186.8760478,7.692952084,0.045280661,223.2574228,1506.172936,0.416507238,3.086350065,5.069189762,0
Athlete BE,106,4107.90567,64.96424,25.35,6.035,0,159.19,1409.02198,0.37138,3.43003,3.4,3962.94451,66.67768238,59.81666162,6.730775903,0,148.8673483,1292.763942,0.362088504,3.267200872,3.777330748,0
Athlete BS,106,3859.401263,80.82529667,524.66334,7.5963,0,237.4599967,1035.436287,0.346916667,2.62436,5.882576667,3857.863876,80.54731667,484.9374145,7.991876593,5.28762963,200.8539986,1025.672588,0.345342593,2.60901363,4.778704593,0
Athlete BT,106,4998.53479,79.04905,176.75,7.67358,0,309.67,1748.99748,0.46099,3.49902,4.16667,4375.009612,75.60477478,189.8877733,7.688534851,0,254.9986709,1454.746862,0.414458168,3.281635059,4.180380643,0
Athlete BU,106,4873.00852,77.06392,200.05,6.90076,0,240.99,1577.8764,0.41589,3.23799,3.25,4714.020068,74.38131037,187.697141,7.163810147,0,224.7444128,1524.603415,0.400443162,3.230524522,3.634053605,0
Athlete BW,106,4469.5878,70.68405,22.36,6.26551,0,136.44,1586.53641,0.41817,3.54963,3.5,4236.034522,70.93841221,74.40016786,6.7619613,0,126.3891564,1390.147274,0.383886005,3.262380285,2.956894819,0
Athlete CA,106,4528.21368,71.61118,124.03,7.32686,0,208.77,1604.27662,0.42285,3.54285,3.375,3890.037148,68.64496926,125.0158485,7.26193103,0,174.6485453,1313.684455,0.38529744,3.361100408,3.339743758,0
Athlete CK,106,5597.74453,88.52522,242.96001,7.06841,0,248.71,1824.47949,0.48089,3.25931,4.25,4343.07829,80.91708104,293.930702,7.21083118,0,210.1594843,1363.581069,0.416876444,3.085752821,5.01451782,0
Athlete CR,106,4707.96625,74.45387,221.65,8.68744,0,191.09,1478.36209,0.38966,3.14013,3.88889,5003.35366,72.70528177,309.6619886,8.832137456,4.098463649,217.8072726,1508.467922,0.366445167,3.023776281,4.055720578,0
Athlete D,106,2772.21551,43.84105,4.09,5.57017,0,60.17,946.5731,0.24949,3.4145,9.5,3968.425665,54.20595366,73.47657064,6.652373973,0,113.843282,1242.228074,0.283230582,3.168014342,6.147847375,0
Athlete E,106,4185.61804,66.19322,80.57,7.19991,0,99.82,1408.72293,0.3713,3.36563,3,4290.711909,66.67743922,96.04590849,7.425968033,0,107.6190739,1343.035853,0.348496429,3.137850791,2.367018989,0
Athlete J,106,4677.6529,73.97448,119.38,7.24418,0,162.38,1629.13433,0.4294,3.4828,3.85714,4323.610375,71.95078889,104.5170186,7.289143362,0,127.3836637,1379.126774,0.379352546,3.165669089,3.584067051,0
Athlete AC,107,4754.251535,77.3843475,212.17,7.5423725,0,216.3875025,1446.86241,0.3918,3.0330625,4.92647,4750.420038,78.17512082,166.4182104,7.190693362,0.002197704,192.0262794,1412.986569,0.388590367,2.979205464,4.549650875,0
Athlete AM,107,2267.097493,78.26510667,333.2466733,6.27849,0,238.3066667,667.3053567,0.381076667,2.941206667,5.708333333,2501.850175,79.75280865,350.7153243,6.409190952,0.019403245,252.0861643,700.1341406,0.365587468,2.803718677,6.314806912,0
Athlete AO,107,3998.074687,72.04952333,201.8433333,7.902263333,0,200.5833333,1292.788997,0.388636667,3.24365,3.925923333,4111.122183,75.18325522,233.4219052,8.141523768,0.147013141,199.9581805,1333.750135,0.40515271,3.234297611,4.66904029,0
