PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete R,20,2073.803333,5.63,60.01166667,6.293333333,0,42.02166667,697.695,0.255,3.363333333,4.576666667,2415.820476,5.533823914,59.41984378,6.222067291,0,51.95099272,834.4976029,0.272535025,3.432088926,4.344616573,0
Athlete S,20,2827.248333,16.56833333,232.4183333,7.961666667,54.16166667,77.275,937.2766667,0.381666667,3.35,5.745,3645.235372,16.39633392,275.7812371,8.131739995,60.85580175,89.75071512,1219.56115,0.381222979,3.314216381,5.932880476,0
Athlete T,20,3422.548333,10.58333333,151.525,7.273333333,30.695,104.9416667,1171.79,0.373333333,3.333333333,5.251666667,3132.405365,9.429676986,132.1141296,7.22375281,32.99998386,90.00326678,1070.021803,0.335790186,3.363143028,4.901047228,0
Athlete U,20,3587.448333,13.59166667,217.7533333,8.01,50.665,87.69,1166.863333,0.381666667,3.203333333,5.363333333,3672.071239,13.1711746,211.1371453,7.923249419,53.23008816,97.62407591,1198.172112,0.373860107,3.222835379,5.124182622,0
Athlete V,20,1969.566,6.172,36.78,6.058,0,25.224,638.388,0.278,3.316,3.01,2521.432157,7.198489894,61.49740121,6.195959909,0.13344427,41.08460257,848.6045362,0.304561302,3.407041988,3.789847917,0
Athlete Y,20,6064.35,11.99,537,8.08,153.66,188.72,2223.87,0.38,3.67,4.59,5449.362,11.09,392.63,8.042,103.2,167.232,2005.848,0.4,3.718,5.854,0
Athlete Z,20,3448.395,12.015,179.47,7.175,12.87,103.6,1220.775,0.385,3.54,5.48,3436.202075,8.962283951,137.0623807,6.95109968,13.09875476,99.17766956,1269.640456,0.336672001,3.750702637,5.516284103,0
Athlete AB,21,4686.84,14.76,291.24,8.58,48.53,120.69,1781.08,0.46,3.8,6.9,3190.049333,13.788,226.224,7.873333333,35.826,74.92333333,1162.905333,0.398666667,3.644,6.429333333,0
Athlete AC,21,2737.882,9.182,150.182,7.658,28.998,66.248,956.62,0.33,3.422,4.944,2748.960417,10.24878031,147.5971981,7.564696165,27.37672482,72.96070482,947.6722497,0.346795503,3.383347862,5.073986906,0
Athlete B,21,2659.121667,6.883333333,64.16833333,6.405,1.348333333,51.62833333,994.035,0.306666667,3.826666667,4.85,2706.55304,6.864051112,59.20422015,6.259794578,1.163582847,53.63147293,1017.916593,0.319689234,3.859454093,4.643540026,0
Athlete D,21,2301.35,8.15,95.23166667,6.693333333,2.495,53.92333333,814.4566667,0.28,3.631666667,3.59,2372.949675,8.693584903,89.46315943,6.676659107,2.621518875,60.31625073,833.102291,0.290979732,3.613775965,3.717882419,1
Athlete E,21,3127.545,8.095,68.46666667,6.763333333,4.878333333,66.56666667,1143.74,0.346666667,3.7,4.74,3216.044478,8.223362734,80.62510554,6.853722032,6.603669978,70.33372622,1184.098906,0.358141581,3.70507331,4.709162482,0
Athlete F,21,2569.218333,7.685,106.1233333,6.971666667,12.06166667,73.93333333,963.25,0.321666667,3.711666667,5.046666667,2814.049185,8.809529826,125.228119,7.096537527,15.38344291,77.94121919,1047.479788,0.341033409,3.696188471,4.794875934,0
Athlete G,21,2913.55,13.03833333,185.2066667,7.375,21.50166667,111.655,1063.726667,0.39,3.55,4.801666667,2944.797599,11.89561014,163.9658425,7.440017427,23.83937731,99.78773601,1052.236454,0.379030893,3.469681111,4.777658844,0
Athlete H,21,2300.61125,14.57375,118.3,6.60875,2.395,63.01,785.5525,0.3075,3.37375,4.835,2267.951102,14.18440685,106.3223728,6.516193729,1.670574285,58.65026286,788.9336533,0.323944756,3.467847679,4.877717581,0
Athlete I,21,2762.494,11.812,131.14,7.426,31.47,73.638,928.172,0.336,3.216,4.478,2731.871367,10.54566546,122.0016444,7.258927975,27.43743967,64.59260548,921.4153044,0.321508813,3.263954249,4.198490957,0
Athlete J,21,3063.194286,8.72,69.78428571,6.615714286,0.804285714,60.82285714,1107.465714,0.348571429,3.612857143,5.117142857,3167.453026,8.224484365,81.94361759,6.518533221,2.822531433,62.64849043,1154.037577,0.33770479,3.482807195,4.910096682,0
Athlete K,21,2811.418333,9.883333333,163.8016667,7.926666667,49.655,72.15333333,876.1166667,0.3,3.051666667,4.098333333,2885.485307,9.798192113,161.8595368,7.782468379,42.5839352,71.02880405,885.1593765,0.295336756,3.028555404,4.146994143,0
Athlete L,21,3215.284,9.196,81.512,6.354,0.418,86.014,1097.28,0.294,3.432,4.554,2974.891526,9.19792381,92.32225744,6.555216303,2.267096549,81.82891931,1007.772877,0.297765999,3.411731748,5.101769977,0
Athlete N,21,2371.645714,11.16857143,118.1057143,7.072857143,11.20428571,84.01714286,832.8685714,0.304285714,3.471428571,5.667142857,2495.57939,11.78064492,121.305603,7.022664706,10.47343282,85.5822993,884.4228119,0.35122496,3.602065594,5.984139342,0
Athlete O,21,2248.646667,6.843333333,34.935,6.378333333,1.173333333,50.51333333,794.6416667,0.286666667,3.561666667,4.538333333,2341.633644,6.931447927,44.29844205,6.543440099,3.651161239,49.94258548,827.0045015,0.301139464,3.57008946,4.570092668,0
Athlete P,21,3571.106667,15.05333333,217.3766667,6.853333333,3.543333333,103.5566667,1178.656667,0.39,3.376666667,5.313333333,3217.667374,15.70931976,198.4702219,6.714657002,2.49345679,86.91364798,1042.789219,0.369324945,3.27761029,5.091057995,0
Athlete Q,21,2636.778333,6.048333333,27.52,6.038333333,1.298333333,46.785,971.2016667,0.306666667,3.645,4.246666667,2508.635222,5.704773323,23.83983761,5.946901126,1.041872428,42.70698142,922.2067399,0.306062143,3.63270843,4.373853745,0
Athlete R,21,2231.018333,5.526666667,69.41166667,6.288333333,1.348333333,49.90833333,767.73,0.25,3.405,3.186666667,2242.205138,5.753060901,73.88205076,6.379589355,1.081995885,49.06915665,767.8060036,0.252069833,3.379316906,3.669723997,0
Athlete S,21,3041.113333,14.795,215.775,7.685,32.21,90.03833333,1016.636667,0.36,3.263333333,5.58,3058.275776,14.77400142,225.5606001,7.749569766,37.80012068,84.14041715,1027.352323,0.365662923,3.296753336,5.519745337,0
Athlete T,21,3058.126667,7.796666667,99.34166667,7.283333333,28.695,79.94,1065.32,0.32,3.335,4.173333333,3162.683845,8.071448551,106.3297613,7.252208752,26.28342565,86.81632246,1103.901521,0.332698544,3.341992895,4.274760433,0
Athlete U,21,2959.092857,8.867142857,160.5542857,6.284285714,21.52285714,68.31714286,972.6157143,0.292857143,3.325714286,4.148571429,3158.864581,9.610683082,168.7193814,6.651143658,24.61222582,71.79789604,1039.934539,0.312306487,3.313587267,4.418457246,0
Athlete V,21,2521.486667,8.506666667,91.10333333,6.476666667,0.69,49.98666667,837.5933333,0.32,3.44,4.53,2269.266771,6.985267643,64.85828973,6.163062906,0.253735918,36.43260265,746.410488,0.291509353,3.373081016,3.657668227,1
